frame,time_s,angle_deg,tip_x,tip_y,base_x,base_y,base_dir_deg,tip_dir_deg,n_skeleton,mid_x,mid_y,needle_len
172,5.7276,6.032,387.49,270.57,847.00,303.00,-180.000,173.968,535,387.49,270.57,39.10
173,5.7609,5.641,388.47,270.85,847.00,303.00,-180.000,174.359,542,388.47,270.85,39.11
174,5.7942,5.641,388.47,270.85,847.00,303.00,-180.000,174.359,530,388.47,270.85,39.11
175,5.8275,5.487,388.46,270.87,847.00,303.00,-180.000,174.513,520,388.46,270.87,39.11
176,5.8608,5.246,387.48,270.75,847.00,303.00,-180.000,174.754,537,387.48,270.75,39.11
177,5.8941,5.665,388.48,270.75,847.00,303.00,-180.000,174.335,533,388.48,270.75,39.11
178,5.9274,6.685,388.45,270.89,847.00,303.00,-180.000,173.315,521,388.45,270.89,39.08
179,5.9607,6.442,388.46,270.85,847.00,302.50,-180.000,173.558,538,388.46,270.85,39.09
180,5.9940,6.081,389.39,270.99,847.00,302.50,-180.000,173.919,543,389.39,270.99,39.20
181,6.0273,4.819,389.44,270.70,847.00,302.50,-180.000,175.181,530,389.44,270.70,39.20
182,6.0606,4.498,389.48,270.80,847.00,302.50,-180.000,175.502,532,389.48,270.80,39.12
183,6.0939,4.430,388.50,271.02,847.00,302.50,-180.000,175.570,548,388.50,271.02,39.04
184,6.1272,4.868,386.51,270.38,847.00,303.00,-180.000,175.132,542,386.51,270.38,39.11
185,6.1605,5.302,388.51,270.85,847.00,303.00,-180.000,174.698,536,388.51,270.85,39.02
186,6.1938,5.631,387.48,270.75,847.00,303.50,-180.000,174.369,551,387.48,270.75,39.11
187,6.2271,5.631,387.48,270.75,847.00,303.50,-180.000,174.369,553,387.48,270.75,39.11
188,6.2604,5.043,386.50,270.55,847.00,303.50,-180.000,174.957,549,386.50,270.55,39.11
189,6.2937,5.236,386.50,270.50,847.00,303.00,-180.000,174.764,538,386.50,270.50,39.11
190,6.3270,5.622,388.47,270.80,847.00,303.00,-180.000,174.378,532,388.47,270.80,39.11
191,6.3603,5.622,388.47,270.80,847.00,303.00,-180.000,174.378,549,388.47,270.80,39.11
192,6.3936,5.274,388.48,270.67,847.00,303.00,-180.000,174.726,564,388.48,270.67,39.11
193,6.4269,5.575,388.46,270.87,847.00,303.00,-180.000,174.425,581,388.46,270.87,39.11
194,6.4602,5.622,388.47,270.80,847.00,303.00,-180.000,174.378,576,388.47,270.80,39.11
195,6.4935,5.888,386.49,270.60,847.00,303.00,-180.000,174.112,597,386.49,270.60,39.10
196,6.5268,4.820,386.51,270.35,847.00,303.00,-180.000,175.180,591,386.51,270.35,39.11
197,6.5601,0.016,427.00,271.03,847.00,303.00,-180.000,179.984,600,427.00,271.03,120.00
198,6.5934,0.023,427.00,271.04,847.00,303.00,-180.000,179.977,604,427.00,271.04,120.00
199,6.6267,4.841,386.51,270.40,847.00,303.00,-180.000,175.159,591,386.51,270.40,39.11
200,6.6600,4.841,386.51,270.40,847.00,303.00,-180.000,175.159,581,386.51,270.40,39.11
201,6.6933,4.717,386.52,270.28,847.00,302.50,-180.000,175.283,607,386.52,270.28,39.11
202,6.7266,5.395,386.51,270.35,847.00,302.50,-180.000,174.605,618,386.51,270.35,39.11
203,6.7599,5.261,386.52,270.33,847.00,302.50,-180.000,174.739,617,386.52,270.33,39.11
204,6.7932,5.341,388.50,270.55,847.00,302.50,-180.000,174.659,614,388.50,270.55,39.11
205,6.8265,5.341,388.50,270.55,847.00,302.50,-180.000,174.659,600,388.50,270.55,39.11
206,6.8598,4.931,388.51,270.43,847.00,302.50,-180.000,175.069,560,388.51,270.43,39.11
207,6.8931,4.845,388.51,270.43,847.00,302.50,-180.000,175.155,580,388.51,270.43,39.11
208,6.9264,3.948,386.49,270.17,847.00,302.50,-180.000,176.052,588,386.49,270.17,39.05
209,6.9597,3.948,386.49,270.17,847.00,302.50,-180.000,176.052,589,386.49,270.17,39.05
210,6.9930,5.257,386.50,270.45,847.00,302.50,-180.000,174.743,592,386.50,270.45,39.11
211,7.0263,5.257,386.50,270.45,847.00,302.00,-180.000,174.743,587,386.50,270.45,39.11
212,7.0596,5.257,386.50,270.45,847.00,302.00,-180.000,174.743,605,386.50,270.45,39.11
213,7.0929,5.124,386.51,270.43,847.00,302.00,-180.000,174.876,610,386.51,270.43,39.11
214,7.1262,5.467,386.51,270.38,847.00,302.00,-180.000,174.533,616,386.51,270.38,39.11
215,7.1595,4.534,386.49,270.10,847.00,302.00,-180.000,175.466,600,386.49,270.10,39.04
216,7.1928,4.965,388.54,270.08,847.00,302.00,-180.000,175.035,575,388.54,270.08,39.11
217,7.2261,6.552,388.54,270.18,847.00,302.00,-180.000,173.448,582,388.54,270.18,39.09
218,7.2594,5.784,388.52,270.33,847.00,302.00,-180.000,174.216,544,388.52,270.33,39.10
219,7.2927,5.784,388.52,270.33,847.00,302.50,-180.000,174.216,565,388.52,270.33,39.10
220,7.3260,6.880,389.49,270.12,847.00,302.50,-180.000,173.120,549,389.49,270.12,39.20
221,7.3593,5.785,388.51,270.38,847.00,302.50,-180.000,174.215,545,388.51,270.38,39.10
222,7.3926,5.997,388.47,270.32,847.00,302.50,-180.000,174.003,533,388.47,270.32,39.20
223,7.4259,5.954,388.47,270.27,847.00,302.50,-180.000,174.046,509,388.47,270.27,39.20
224,7.4592,5.997,388.47,270.32,847.00,302.50,-180.000,174.003,517,388.47,270.32,39.20
225,7.4925,5.992,388.46,270.35,847.00,302.50,-180.000,174.008,521,388.46,270.35,39.20
226,7.5258,6.041,388.46,270.37,847.00,302.50,-180.000,173.959,503,388.46,270.37,39.20
227,7.5591,5.954,388.47,270.27,847.00,302.50,-180.000,174.046,482,388.47,270.27,39.20
228,7.5924,5.906,388.48,270.20,847.00,302.50,-180.000,174.094,496,388.48,270.20,39.20
229,7.6257,5.906,388.48,270.20,847.00,302.50,-180.000,174.094,506,388.48,270.20,39.20
230,7.6590,5.906,388.48,270.20,847.00,302.50,-180.000,174.094,531,388.48,270.20,39.20
231,7.6923,6.145,387.50,270.02,847.00,302.00,-180.000,173.855,525,387.50,270.02,39.20
232,7.7256,5.536,390.42,270.29,847.00,302.50,-180.000,174.464,514,390.42,270.29,39.11
233,7.7589,5.536,390.42,270.29,847.00,302.00,-180.000,174.464,501,390.42,270.29,39.11
234,7.7922,5.280,390.43,270.24,847.00,302.00,-180.000,174.720,501,390.43,270.24,39.11
235,7.8255,4.371,390.46,270.05,847.00,302.00,-180.000,175.629,509,390.46,270.05,39.12
236,7.8588,5.262,389.53,270.18,847.00,302.00,-180.000,174.738,506,389.53,270.18,39.11
237,7.8921,4.867,387.49,269.67,847.00,302.00,-180.000,175.133,525,387.49,269.67,39.11
238,7.9254,4.905,387.48,269.75,847.00,302.00,-180.000,175.095,523,387.48,269.75,39.11
239,7.9587,5.441,390.42,270.34,847.00,302.00,-180.000,174.559,521,390.42,270.34,39.11
240,7.9920,4.092,390.46,270.00,847.00,302.00,-180.000,175.908,507,390.46,270.00,39.11
241,8.0253,4.992,390.43,270.24,847.00,302.50,-180.000,175.008,516,390.43,270.24,39.11
242,8.0586,4.607,390.43,269.84,847.00,302.00,-180.000,175.393,513,390.43,269.84,39.20
243,8.0919,5.083,390.44,270.12,847.00,302.50,-180.000,174.917,505,390.44,270.12,39.11
244,8.1252,4.928,390.45,270.10,847.00,302.00,-180.000,175.072,508,390.45,270.10,39.11
245,8.1585,4.977,390.44,270.17,847.00,302.00,-180.000,175.023,509,390.44,270.17,39.11
246,8.1918,5.404,390.43,270.22,847.00,302.00,-180.000,174.596,502,390.43,270.22,39.11
247,8.2251,5.484,390.43,270.19,847.00,302.00,-180.000,174.516,500,390.43,270.19,39.11
248,8.2584,5.670,390.43,270.22,847.00,302.00,-180.000,174.330,514,390.43,270.22,39.11
249,8.2917,5.887,390.45,269.99,847.00,302.00,-180.000,174.113,523,390.45,269.99,39.10
250,8.3250,5.887,390.45,269.99,847.00,302.00,-180.000,174.113,523,390.45,269.99,39.10
251,8.3583,4.882,390.47,269.80,847.00,302.00,-180.000,175.118,531,390.47,269.80,39.11
252,8.3916,4.882,390.47,269.80,847.00,302.00,-180.000,175.118,537,390.47,269.80,39.11
253,8.4249,5.670,390.45,270.02,847.00,302.00,-180.000,174.330,528,390.45,270.02,39.11
254,8.4582,5.911,390.42,270.24,847.00,302.50,-180.000,174.089,522,390.42,270.24,39.10
255,8.4915,5.821,390.42,270.27,847.00,302.50,-180.000,174.179,522,390.42,270.27,39.10
256,8.5248,5.821,390.42,270.27,847.00,302.50,-180.000,174.179,521,390.42,270.27,39.10
257,8.5581,5.520,390.44,270.12,847.00,302.50,-180.000,174.480,521,390.44,270.12,39.11
258,8.5914,5.722,390.45,270.02,847.00,302.50,-180.000,174.278,517,390.45,270.02,39.10
259,8.6247,5.674,390.45,270.04,847.00,302.50,-180.000,174.326,517,390.45,270.04,39.11
260,8.6580,5.569,390.44,270.09,847.00,302.00,-180.000,174.431,517,390.44,270.09,39.11
261,8.6913,5.569,390.44,270.09,847.00,302.00,-180.000,174.431,512,390.44,270.09,39.11
262,8.7246,5.734,390.44,270.07,847.00,302.00,-180.000,174.266,512,390.44,270.07,39.10
